"TIME.M","SOG","AWS","AWA","COG","LAT","LON","TWS","TWA","AWS.range","TWS.range","AWA.range","TWA.range","target.SOG","diff.SOG","pol.perc"
2017-07-24 00:44:00,6.784,19.7786885245902,74.0655737704918,293.079333333333,45.7375327222222,-84.1977706111111,19.0668606177631,94.0722406534694,"(16,20]","(16,20]","(60,90]","(60,90]",7.52638957738636,-0.742389577386362,90.1361792430074
2017-07-24 00:45:00,6.715,18.7645161290323,77.0967741935484,291.541666666667,45.7381899444444,-84.2001921111111,18.4641210913228,97.8592661627463,"(16,20]","(16,20]","(60,90]","(60,90]",7.56508687309739,-0.850086873097394,88.7630256286886
2017-07-24 00:46:00,6.08233333333333,18.0885245901639,66.1803278688525,297.761,45.7388701666667,-84.2024991111111,16.5928876955312,85.7734971400823,"(16,20]","(16,20]","(60,90]","(60,90]",7.18816510739077,-1.10583177405743,84.6159380379225
2017-07-24 00:47:00,5.95066666666667,20,45.4426229508197,310.931333333333,45.7398535555556,-84.2042476666667,16.3830829884705,60.4421988203425,"(16,20]","(16,20]","(30,60]","(30,60]",6.66832225064151,-0.71765558397484,89.2378388895978
2017-07-24 00:48:00,6.00466666666667,20.6048387096774,47.0322580645161,309.181333333333,45.7408784444444,-84.2060831111111,17.0867365472689,61.9332290294146,"(20,24]","(16,20]","(30,60]","(30,60]",6.71649249514485,-0.711825828478183,89.4018220225402
2017-07-24 00:49:00,6.83633333333333,19.3193548387097,49.7177419354839,302.045,45.7419188888889,-84.2081512777778,15.7856793086818,69.0093955942348,"(16,20]","(12,16]","(30,60]","(30,60]",6.86987836485327,-0.0335450315199388,99.5117085086752
2017-07-24 00:50:00,6.984,18.2403225806452,56.5322580645161,300.075,45.742973,-84.2104974444444,15.5236046439439,78.5751899323834,"(16,20]","(12,16]","(30,60]","(30,60]",7.05699294543318,-0.0729929454331844,98.9656650361197
2017-07-24 00:51:00,6.886,18.6114754098361,55.3852459016393,294.190333333333,45.7437578333333,-84.2129558888889,15.7544135610703,76.4679832941305,"(16,20]","(12,16]","(30,60]","(30,60]",7.02107636797084,-0.135076367970841,98.0761301986823
2017-07-24 00:52:00,6.828,20.3903225806452,42.6854838709677,307.317,45.7447641111111,-84.2152302222222,16.0530948571427,59.4457741293907,"(20,24]","(16,20]","(30,60]","(30,60]",6.64131757002087,0.186682429979132,102.810924609626
2017-07-24 00:53:00,7.04433333333333,19.2639344262295,60.0655737704918,302.594666666667,45.7458877777778,-84.2174389444444,16.8905096301116,81.2531140916914,"(16,20]","(16,20]","(60,90]","(60,90]",7.1188707280159,-0.0745373946825643,98.952960412819
2017-07-24 00:54:00,7.17133333333333,17.6266666666667,65.7,294.075666666667,45.7467841111111,-84.2199432777778,16.0652125282807,89.7065044983973,"(16,20]","(16,20]","(60,90]","(60,90]",7.26597369761178,-0.0946403642784457,98.6974854545709
